,isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
1116,9780156030304,0156030306,Flowers for Algernon,,Daniel Keyes,Fiction,http://books.google.com/books/content?id=NRWlitmahXkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"With more than five million copies sold, ""Flowers for Algernon"" is the beloved, classic story of a mentally disabled man whose experimental quest for intelligence mirrors that of Algernon, an extraordinary lab mouse. High school & older.",2005.0,4.11,311.0,332849.0
1174,9780192802637,0192802631,Persuasion,,Jane Austen,Fiction,http://books.google.com/books/content?id=lpD5anvUaRUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The romance between Captain Wentworth and Anne, the daughter of Sir Walter Elliot, seems doomed because of the young man's family connections and lack of wealth.",2004.0,4.13,249.0,421344.0
1417,9780307265432,0307265439,The Road,,Cormac McCarthy,Fiction,http://books.google.com/books/content?id=eMq_lTq6fUgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a novel set in an indefinite, futuristic, post-apocalyptic world, a father and his young son make their way through the ruins of a devastated American landscape, struggling to survive and preserve the last remnants of their own humanity. 250,000 first printing.",2006.0,3.96,241.0,574745.0
1420,9780307275554,0307275558,The Devil Wears Prada,,Lauren Weisberger,Fiction,http://books.google.com/books/content?id=jgnS-R9qNU8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A small-town girl fresh out of an Ivy League college lands a job at a prestigious fashion magazine, but wonders if the glamorous perks are worth working for the editor from hell.",2006.0,3.73,432.0,723487.0
1516,9780312321185,031232118X,Something Borrowed,,Emily Giffin,Fiction,http://books.google.com/books/content?id=ekrNJWcrsvgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After a night of indiscriminate partying, Rachel sleeps with a close friend's fianc and is consumed with guilt, until the intensity of her feelings forces her to make a difficult choice. A first novel. 50,000 first printing.",2004.0,3.84,322.0,439930.0
1519,9780312323868,0312323867,Something Blue,,Emily Giffin,Fiction,http://books.google.com/books/content?id=vtbEdUWDah0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Her belief in the power of beauty shattered when her fiance dumps her for a plain woman, a pregnant Darcy flees to London and struggles to rebuild her glamorous life, before realizing that her past methods no longer work.",2006.0,3.93,338.0,186552.0
1525,9780312348649,0312348649,Baby Proof,,Emily Giffin,Fiction,http://books.google.com/books/content?id=dfM9KO0_MvwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Having agreed from the start of their relationship that they did not want children, Claudia and Ben find their previously idyllic marriage tested when Ben realizes that he wants to be a father after all. By the author of Something Borrowed and Something Blue. 300,000 first printing.",2006.0,3.71,340.0,136644.0
1530,9780312353766,0312353766,The Red Tent,A Novel,Anita Diamant,Fiction,http://books.google.com/books/content?id=Saqfl3hXqfEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Based on the Book of Genesis, Dinah shares her perspective on religous practices and sexul politics.",2005.0,4.17,336.0,453899.0
1548,9780312422158,0312422156,Middlesex,A Novel,Jeffrey Eugenides,Fiction,http://books.google.com/books/content?id=twDVs4UIU_kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Calliope's friendship with a classmate and her sense of identity are compromised by the adolescent discovery that she is a hermaphrodite, a situation with roots in her grandparents' desperate struggle for survival in the 1920s. By the author of The Virgin Suicides.Reader's Guide available. Reprint. 100,000 first printing.",2003.0,3.99,529.0,526111.0
1809,9780345418265,0345418263,The Princess Bride,S. Morgenstern's Classic Tale of True Love and High Adventure,William Goldman,Fiction,http://books.google.com/books/content?id=RkFBPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In this 30th anniversary edition, Goldman frames the famous fairy tale with an ""autobiographical"" story: his father abridged the book as he read it to his son. Now, Goldman is publishing an abridged version, interspersed with comments on the parts he cut out.",2003.0,4.26,398.0,673146.0
1862,9780345453747,0345453743,The Ultimate Hitchhiker's Guide to the Galaxy,,Douglas Adams,Fiction,http://books.google.com/books/content?id=4m0Qj9xKksYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In this collection of novels, Arthur Dent is introduced to the galaxy at large when he is rescued by an alien friend seconds before Earth's destruction, and embarks on a series of amazing adventures with his new companion.",2002.0,4.38,815.0,240189.0
1896,9780345476883,0345476883,The Vampire Lestat,,Anne Rice,Fiction,http://books.google.com/books/content?id=lERBwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Lestat has risen from his long sleep as a modern day rock star, and makes public his story of his aristocratic boyhood in pre-revolutionary eighteenth-century France and his initiation into vampiredom in order to solve the mystery of his existence. Reissue.",2004.0,4.07,481.0,152168.0
2042,9780374528379,0374528373,The Brothers Karamazov,A Novel in Four Parts With Epilogue,Fyodor Dostoevsky,Fiction,http://books.google.com/books/content?id=z1k_AxXUvmEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The violent lives of three sons are exposed when their father is murdered and each one attempts to come to terms with his guilt.,2002.0,4.32,796.0,177444.0
2093,9780375706677,0375706674,No Country for Old Men,,Cormac McCarthy,Fiction,http://books.google.com/books/content?id=Q8zM_BuvaroC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Stumbling upon a bloody massacre, a cache of heroin, and more than two million in cash during a hunting trip, Llewelyn Moss removes the money, a decision that draws him and his young wife into the middle of a violent confrontation.",2006.0,4.13,309.0,114408.0
2205,9780380731862,038073186X,Shutter Island,,Dennis Lehane,Fiction,http://books.google.com/books/content?id=WZrQjhses-YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"U.S. Marshal Teddy Daniels and his partner, Chuck Aule, come to Shutter Island's Ashecliffe Hospital in search of an escaped mental patient, but uncover true wickedness as Ashecliffe's mysterious patient treatments propel them to the brink of insanity.",2004.0,4.09,369.0,128927.0
2225,9780380813810,0380813815,Lamb,"The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,Fiction,http://books.google.com/books/content?id=cM4dlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The birth of Jesus has been well chronicled, as have his glorious teachings, acts, and divine sacrifice after his thirtieth birthday. But no one knows about the early life of the Son of God, the missing years -- except Biff, the Messiah's best bud, who has been resurrected to tell the story in the divinely hilarious yet heartfelt work ""reminiscent of Vonnegut and Douglas Adams"" (Philadelphia Inquirer). Verily, the story Biff has to tell is a miraculous one, filled with remarkable journeys, magic, healings, kung fu, corpse reanimations, demons, and hot babes. Even the considerable wiles and devotion of the Savior's pal may not be enough to divert Joshua from his tragic destiny. But there's no one who loves Josh more -- except maybe ""Maggie,"" Mary of Magdala -- and Biff isn't about to let his extraordinary pal suffer and ascend without a fight.",2003.0,4.26,444.0,130754.0
2278,9780385335973,0385335970,Dragonfly in Amber,,Diana Gabaldon,Fiction,http://books.google.com/books/content?id=yYc_PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In eighteenth-century Scotland, Claire Randall and her raven-haired daughter, Brianna, return to the majestic hills where Claire recalls the love of her life--gallant warrior James Fraser.",2001.0,4.32,743.0,208928.0
2279,9780385335997,0385335997,Voyager,,Diana Gabaldon,Fiction,http://books.google.com/books/content?id=tJ1Ywslye6kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Time-travelling Claire Randall returns to her own time, pregnant and weary, and resumes her life, but her memories of her eighteenth-century Scottish lover Jamie Fraser will not die, leading her to a desperate decision to return to him.",2001.0,4.39,870.0,188662.0
