,isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
3745,9780618346257,0618346252,The Fellowship of the Ring,Being the First Part of the Lord of the Rings,J. R. R. Tolkien,Fiction,http://books.google.com/books/content?id=S35cUR-u4y4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After discovering the true nature of the One Ring, Bilbo Baggins entrusts it to the care of his young cousin, Frodo, who is charged with bringing about its destruction and thus foiling the plans of the Dark Lord.",2003.0,4.35,398.0,2009749.0
3761,9780618485222,0618485228,The Namesake,,Jhumpa Lahiri,Fiction,http://books.google.com/books/content?id=Nx-vY7ac1OcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"An incisive portrait of the immigrant experience follows the Ganguli family from their traditional life in India through their arrival in Massachusetts in the late 1960s and their difficult melding into an American way of life, in a debut novel that spans three decades, two continents, and two generations. By the Pulitzer Prize-winning author of Interpreter of Maladies. Reprint.",2004.0,3.98,291.0,203953.0
3781,9780618711659,0618711651,Extremely Loud and Incredibly Close,,Jonathan Safran Foer,Fiction,http://books.google.com/books/content?id=FHEy-iv2Y5IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Oskar Schell, the nine-year-old son of a man killed in the World Trade Center attacks, searches the five boroughs of New York City for a lock that fits a black key his father left behind.",2006.0,3.98,326.0,325230.0
4332,9780743227445,0743227441,The Other Boleyn Girl,,Philippa Gregory,Fiction,http://books.google.com/books/content?id=mx8-sy_e6r8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The #1 New York Times bestseller from “the queen of royal fiction” (USA TODAY) Philippa Gregory is a rich, compelling novel of love, sex, ambition, and intrigue surrounding the Tudor court of Henry VIII, Anne Boleyn, and the infamous Boleyn family. When Mary Boleyn comes to court as an innocent girl of fourteen, she catches the eye of the handsome and charming Henry VIII. Dazzled by the king, Mary falls in love with both her golden prince and her growing role as unofficial queen. However, she soon realizes just how much she is a pawn in her family’s ambitious plots as the king’s interest begins to wane, and soon she is forced to step aside for her best friend and rival: her sister, Anne. With her own destiny suddenly unknown, Mary realizes that she must defy her family and take fate into her own hands. With more than one million copies in print and adapted for the big screen, The Other Boleyn Girl is a riveting historical drama. It brings to light a woman of extraordinary determination and desire who lived at the heart of the most exciting and glamorous court in Europe, and survived a treacherous political landscape by following her heart.",2001.0,4.05,661.0,408775.0
4351,9780743253970,0743253973,A Separate Peace,,John Knowles,Fiction,http://books.google.com/books/content?id=MXodmuKR7vYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An American classic and great bestseller for over thirty years, A Separate Peace is timeless in its description of adolescence during a period when the entire country was losing its innocence to the second world war. Set at a boys’ boarding school in New England during the early years of World War II, A Separate Peace is a harrowing and luminous parable of the dark side of adolescence. Gene is a lonely, introverted intellectual. Phineas is a handsome, taunting, daredevil athlete. What happens between the two friends one summer, like the war itself, banishes the innocence of these boys and their world. A bestseller for more than thirty years, A Separate Peace is John Knowles’s crowning achievement and an undisputed American classic.",2003.0,3.57,208.0,169719.0
4370,9780743272490,0743272498,The Constant Princess,,Philippa Gregory,Fiction,http://books.google.com/books/content?id=T8nmrTAg1A8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A fictional portrait of Henry VIII's first wife, Katherine of Aragon, follows her through her youthful marriage to Henry's older brother, Arthur, her widowhood, her marriage to Henry, and the divorce that led to Henry's marriage to Anne Boleyn.",2006.0,3.89,390.0,133277.0
4418,9780743454537,0743454537,My Sister's Keeper,A Novel,Jodi Picoult,Fiction,http://books.google.com/books/content?id=vGZSso_uyWsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A popular novel about a girl suing her parents because they want her to donate a kidney to her sister was named by the American Library Association as one of the top 10 books banned in 2009, with the novel being pulled from the shelves for a host of reasons, including homosexuality, sexually explicit material, religious viewpoint, drugs and suicide. Reprint. A best-selling book.",2005.0,4.07,423.0,950402.0
4715,9780765305114,0765305119,The Dragon Reborn,Book Three of 'The Wheel of Time',Robert Jordan,Fiction,http://books.google.com/books/content?id=TayX0FYrK1kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Able to touch the One Power but unable to control its great destructive power, a great messiah named Rand al'Thor flees from his destiny.",2002.0,4.25,624.0,171922.0
4753,9780765346520,0765346524,Wizard's First Rule,,Terry Goodkind,Fiction,http://books.google.com/books/content?id=fdpKPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The masterpiece that started The New York Times bestselling epic Sword of Truth In the aftermath of the brutal murder of his father, a mysterious woman, Kahlan Amnell, appears in Richard Cypher's forest sanctuary seeking help . . . and more. His world, his very beliefs, are shattered when ancient debts come due with thundering violence. In a dark age it takes courage to live, and more than mere courage to challenge those who hold dominion, Richard and Kahlan must take up that challenge or become the next victims. Beyond awaits a bewitching land where even the best of their hearts could betray them. Yet, Richard fears nothing so much as what secrets his sword might reveal about his own soul. Falling in love would destroy them--for reasons Richard can't imagine and Kahlan dare not say. In their darkest hour, hunted relentlessly, tormented by treachery and loss, Kahlan calls upon Richard to reach beyond his sword--to invoke within himself something more noble. Neither knows that the rules of battle have just changed . . . or that their time has run out. This is the beginning. One book. One Rule. Witness the birth of a legend.",2003.0,4.14,836.0,197049.0
4762,9780765356154,0765356155,Jonathan Strange & Mr Norrell,A Novel,Susanna Clarke,Fiction,http://books.google.com/books/content?id=uGHWsBJx6KQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"All is going well for rich, reclusive Mr Norell, who has regained some of the power of England's magicians from the past, until a rival magician, Jonathan Strange, appears and becomes Mr Norrell's pupil, in a witty fantasy set against the backdrop of nineteenth-century England. Reprint.",2006.0,3.82,1006.0,151294.0
4978,9780802142849,0802142842,Cold Mountain,A Novel,Charles Frazier;George Vithoulkas,Fiction,http://books.google.com/books/content?id=yKjwmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Inman, an injured and disillusioned Confederate soldier, embarks on a harrowing journey home to his sweetheart, Ada, who herself is struggling to run the farm left her at her father's sudden death.",2006.0,3.85,356.0,201921.0
5236,9780812976144,0812976142,The Alienist,,Caleb Carr,Fiction,http://books.google.com/books/content?id=9mWMDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When a madman begins stalking victims on the streets of 1896 New York, a team of investigators is forced to apply radical and untested techniques that include fingerprinting and the controversial science of psychology. Reprint. 25,000 first printing.",2006.0,4.06,498.0,119839.0
5694,9781400032716,1400032717,The curious incident of the dog in the night-time,a novel,Mark Haddon,Fiction,,"Despite his overwhelming fear of interacting with people, Christopher, a mathematically-gifted, autistic fifteen-year-old boy, decides to investigate the murder of a neighbor's dog and uncovers secret information about his mother.",2003.0,3.87,226.0,991627.0
5701,9781400033416,1400033411,Beloved,A Novel,Toni Morrison,Fiction,http://books.google.com/books/content?id=Ann5ugJilcMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Sethe, an escaped slave living in post-Civil War Ohio with her daughter and mother-in-law, is haunted persistently by the ghost of the dead baby girl whom she sacrificed, in a new edition of the Nobel Laureate's Pulitzer Prize-winning novel. Reader's Guide available. Reprint. 60,000 first printing.",2004.0,3.81,324.0,263625.0
5713,9781400034680,140003468X,Love in the Time of Cholera,,Gabriel García Márquez,Fiction,http://books.google.com/books/content?id=Z6uePwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Set on the Caribbean coast of South America, this love story brings together Fermina Daza and Florentino Ariza, a man who has secretly loved her for more than fifty years, on the day of her husband's funeral. Reprint. 50,000 first printing.",2003.0,3.9,348.0,310177.0
5716,9781400034772,1400034779,The No. 1 Ladies' Detective Agency,,Alexander McCall Smith,Fiction,http://books.google.com/books/content?id=BVPY5Q4hXF8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Working in Gaborone, Botswana, Precious Ramotswe investigates several local mysteries, including a search for a missing boy and the case of the clinic doctor with different personalities for different days of the week.",2002.0,3.77,235.0,200338.0
5771,9781400079278,1400079276,Kafka on the Shore,,Haruki Murakami,Fiction,http://books.google.com/books/content?id=-99yJVAsA5gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An unlikely alliance forms between Kafka Tamura, a fifteen-year-old runaway, and the aging Nakata, a man who has never recovered from a wartime affliction, as they embark on a surreal odyssey through a strange, fantastical world.",2006.0,4.13,467.0,206089.0
5872,9781416500186,1416500189,The Good Earth,,Pearl S. Buck;Stephanie Reents,Fiction,http://books.google.com/books/content?id=YshbngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A Chinese peasant overcomes the forces of nature and the frailties of human nature to become a wealthy landowner.,2005.0,3.98,418.0,195372.0
5897,9781416524519,1416524517,Cell,A Novel,Stephen King,Fiction,http://books.google.com/books/content?id=lWIsDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Mayhem and violence are unleashed around the world when a pulse from a mysterious source transforms all cell phone users into savage, unthinking, homicidal maniacs, and only a small band of ""normies"" who somehow avoided the technological attack can stop the rampage. Reprint.",2006.0,3.65,449.0,163786.0
5898,9781416524793,1416524797,Angels & Demons,,Dan Brown,Fiction,,"The explosive Robert Langdon thriller from Dan Brown, the #1 New York Times bestselling author of The Da Vinci Code and Inferno—now a major film directed by Ron Howard and starring Tom Hanks and Felicity Jones. Angels & Demons careens from enlightening epiphanies to dark truths as the battle between science and religion turns to war. This is the book that started it all: we meet Robert Langdon for the first time, caught up in a race against time to find an apocalyptic time-bomb, planted by an ancient secret society that has surfaced to carry out its ultimate threat: to destroy the Vatican.",2006.0,3.88,736.0,2279854.0
6085,9781565125605,1565125606,Water for Elephants,A Novel,Sara Gruen,Fiction,http://books.google.com/books/content?id=M8xNxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Ninety-something-year-old Jacob Jankowski remembers his time in the circus as a young man during the Great Depression, and his friendship with Marlena, the star of the equestrian act, and Rosie, the elephant, who gave them hope. Reader's Guide included. Reprint.",2007.0,4.08,335.0,1198632.0
6206,9781579126254,1579126251,Murder at the Vicarage,A Miss Marple Mystery,Agatha Christie,Fiction,http://books.google.com/books/content?id=gXWnYlqSrnAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When Colonel Protheroe is found dead from a single gun shot wound to the head, none of his neighbors in the village of St. Mary Mead is much surprised. So many people wished this local official would say farewell, if not quite so permanently. With suspects abound and the local police symied it is up to Miss Jane Marple to root out the killer.",2005.0,4.05,288.0,113459.0
